_id.Age,_id.BusinessTravel,_id.DailyRate,_id.Department,_id.DistanceFromHome,_id.Education,_id.EducationField,_id.EnvironmentSatisfaction,_id.Gender,_id.HourlyRate,_id.JobInvolvement,_id.JobLevel,_id.JobRole,_id.JobSatisfaction,_id.MaritalStatus,_id.MonthlyIncome,_id.MonthlyRate,_id.NumCompaniesWorked,_id.OverTime,_id.PercentSalaryHike,_id.PerformanceRating,_id.RelationshipSatisfaction,_id.StockOptionLevel,_id.TotalWorkingYears,_id.TrainingTimesLastYear,_id.WorkLifeBalance,_id.YearsAtCompany,_id.YearsInCurrentRole,_id.YearsSinceLastPromotion,_id.YearsWithCurrManager,target
1,2,128,1,1,2,1,1,1,17,1,0,2,3,2,5,419,1,0,11,1,2,0,1,3,1,1,0,1,0,1
33,2,467,1,0,2,1,2,1,66,2,0,6,3,1,259,1232,1,0,0,0,1,0,1,0,1,1,0,0,0,0
18,2,814,1,9,2,1,3,1,60,2,2,0,0,1,984,1375,7,1,2,0,3,1,15,1,2,12,8,5,7,0
14,1,763,1,1,1,1,3,0,8,2,1,6,2,2,661,15,4,1,3,0,3,0,10,2,2,8,7,0,7,0
13,2,708,1,6,3,3,2,0,9,2,2,4,3,2,928,1364,1,1,3,0,2,0,11,2,1,11,9,4,10,0
17,0,621,1,10,1,3,2,1,49,1,2,0,0,1,1060,363,2,1,2,0,2,1,10,3,2,4,0,2,3,0
8,2,563,1,5,2,1,2,0,41,2,0,2,3,1,234,907,1,1,2,0,2,1,3,2,2,3,2,0,2,0
29,2,669,0,25,3,1,3,0,68,2,4,3,2,1,1336,180,3,0,0,0,2,1,27,2,2,5,2,1,0,0
21,2,190,1,1,3,5,3,0,50,1,1,0,2,2,583,1090,1,0,0,0,0,0,20,4,2,20,7,11,10,0
18,2,395,1,4,3,1,1,0,12,2,2,0,0,1,974,1203,4,0,1,0,2,2,9,6,2,3,2,0,2,0
32,1,291,2,7,1,5,1,1,20,2,1,7,2,1,899,1251,3,1,3,0,0,1,18,4,2,4,3,1,3,1
11,1,416,2,23,2,5,2,1,15,3,0,8,0,2,4,506,1,0,6,0,3,0,1,3,2,1,0,0,0,1
36,2,39,1,8,1,1,0,0,37,2,1,6,2,1,310,1180,3,0,0,0,2,2,9,6,1,4,3,2,3,0
9,1,232,1,0,0,5,2,1,30,1,1,4,0,1,529,444,5,0,8,0,2,1,6,1,2,2,2,2,0,0
26,2,863,1,9,3,4,3,1,11,2,1,0,3,1,859,974,2,1,2,0,3,0,9,5,3,4,2,1,3,0
19,2,755,1,9,3,1,2,1,19,2,1,4,1,2,508,1103,2,1,1,0,3,0,18,2,1,1,0,0,1,0
17,2,324,1,8,2,1,3,0,36,1,2,4,2,1,1113,1252,1,1,9,1,1,1,17,2,2,17,14,5,15,0
1,0,252,1,9,2,3,0,0,66,1,0,6,1,2,29,242,1,1,14,1,1,0,1,2,3,1,1,0,0,1
17,2,368,1,9,3,3,0,0,21,2,1,0,2,2,821,119,3,1,5,0,2,0,10,4,2,5,2,0,4,0
25,2,804,2,8,2,2,0,0,55,0,1,7,2,2,721,433,8,0,2,0,1,0,7,2,1,4,3,1,3,1
18,2,254,1,2,2,5,2,1,0,2,1,6,1,2,569,1393,4,0,1,0,3,0,10,2,2,8,0,7,7,0
8,2,793,1,24,2,1,0,1,18,0,0,2,2,2,120,504,1,0,1,0,2,0,1,2,1,1,0,0,1,1
15,2,310,1,27,3,1,1,1,49,2,1,2,2,1,694,1216,1,1,1,0,1,1,15,3,2,15,14,5,7,0
37,2,469,1,1,3,5,1,1,68,1,0,6,3,1,237,347,8,0,9,1,1,1,19,2,3,5,2,0,4,0
11,1,191,1,1,0,1,3,0,67,2,0,2,1,1,358,145,0,0,2,0,2,3,4,3,2,3,2,0,2,0
12,2,516,1,0,2,1,3,1,8,0,0,2,2,1,449,1298,3,0,10,1,2,2,7,2,2,2,2,0,2,0
17,2,63,2,0,2,3,0,0,50,2,1,7,2,2,642,272,1,0,5,0,3,0,5,3,2,5,4,0,3,0
10,2,459,2,4,3,3,0,1,68,2,1,7,3,2,651,1296,1,0,3,0,1,0,4,3,2,4,2,0,2,0
13,2,701,1,10,3,1,3,1,18,2,0,6,3,1,149,738,3,1,8,0,1,1,8,2,2,6,4,0,2,0
8,2,180,1,16,3,3,3,1,32,0,0,2,2,1,124,250,1,0,4,0,2,3,3,3,3,3,2,0,2,0
25,2,584,2,15,2,2,3,0,50,2,3,3,3,1,1227,335,5,1,11,1,2,1,22,3,2,17,13,1,9,0
18,2,589,0,12,2,0,2,1,6,2,0,1,1,1,77,1357,4,0,2,0,1,1,8,2,2,5,2,0,4,0
17,2,361,2,0,4,2,2,1,64,2,2,7,1,1,931,546,1,0,2,0,0,2,10,3,2,10,8,0,6,0
17,2,370,1,24,2,5,3,1,48,1,2,4,1,1,1128,414,3,0,5,0,0,0,16,2,2,13,10,4,8,0
20,2,205,0,0,2,0,2,1,7,3,0,1,2,1,297,232,1,0,2,0,3,1,7,2,3,7,6,5,0,0
18,2,513,1,5,3,1,2,1,30,0,0,2,2,0,262,280,1,0,3,0,2,1,7,4,2,7,7,1,7,0
27,0,152,2,25,2,2,0,1,22,1,1,7,0,1,549,1290,1,0,4,0,0,1,10,2,2,10,7,4,5,0
31,2,50,2,7,3,5,3,1,26,1,3,7,1,1,1167,571,6,0,6,0,1,1,22,3,2,9,8,2,3,0
11,2,530,1,14,0,1,1,0,39,0,0,6,3,1,85,1421,0,1,7,0,0,1,6,2,1,5,4,1,3,0
5,2,134,1,9,0,3,0,1,49,3,0,6,2,2,406,1010,1,0,7,0,3,0,2,3,2,2,2,0,2,0
22,0,875,2,23,2,1,1,0,70,3,3,7,1,2,1170,865,4,1,5,0,3,0,22,2,1,1,0,0,0,1
17,2,432,2,0,3,2,2,1,2,1,1,7,0,2,532,1223,0,0,3,0,1,0,16,2,2,15,13,2,8,0
0,2,84,1,2,2,1,2,1,24,2,0,2,2,2,17,1341,1,0,2,0,2,0,0,2,2,0,0,0,0,1
32,2,529,1,23,2,1,3,1,65,2,3,4,2,1,1208,114,3,1,7,0,3,1,22,2,2,12,11,1,5,0
36,2,305,1,21,4,3,1,0,61,2,3,3,2,1,1266,951,3,0,14,1,2,1,36,6,2,10,8,4,7,0
18,2,635,2,10,3,2,1,0,70,1,1,7,3,1,884,713,4,0,2,0,0,1,8,2,1,6,3,0,0,0
26,1,515,1,23,2,1,3,1,13,2,0,2,2,0,355,1032,3,1,11,1,3,1,19,0,0,1,0,0,0,1
8,1,516,1,0,0,3,0,0,36,1,0,6,2,0,34,1343,1,0,2,0,2,2,5,5,2,5,3,1,3,0
30,1,10,1,21,2,3,3,0,28,2,3,3,3,0,1262,19,3,0,0,0,1,1,24,3,2,22,17,4,7,0
11,2,809,1,12,1,4,3,1,16,1,1,2,1,1,477,1261,4,1,2,0,0,1,10,2,2,4,3,0,3,0
15,1,820,1,2,3,1,3,0,26,2,0,6,2,1,313,1228,1,1,0,0,2,0,8,3,2,8,7,3,0,0
6,2,641,1,17,0,1,1,1,22,2,0,2,2,1,271,644,0,0,1,0,2,1,6,2,2,5,3,1,2,0
24,2,110,1,1,2,3,3,0,26,1,0,2,0,0,218,349,0,1,0,0,2,1,10,4,2,9,6,7,8,0
18,0,79,1,17,3,1,0,1,48,2,1,4,3,2,961,1233,2,0,9,1,0,0,18,0,2,11,9,0,9,0
14,2,590,2,3,3,3,3,1,2,0,2,7,3,1,1093,1372,1,0,0,0,2,0,14,2,1,14,8,9,8,1
19,2,765,1,5,2,3,2,1,21,3,1,6,0,0,806,861,4,1,2,0,0,2,13,2,2,7,7,6,7,0
16,0,568,1,25,0,5,0,0,62,1,0,6,2,0,43,793,1,0,9,1,2,3,5,2,2,5,4,0,0,0
17,1,66,1,17,1,1,2,1,30,2,2,4,3,2,1031,1034,2,0,0,0,2,0,10,2,2,2,2,2,2,0
26,2,516,1,1,2,1,2,0,66,3,2,0,3,1,965,732,1,1,8,0,1,1,9,2,2,8,7,6,7,0
18,2,475,1,4,3,1,1,0,52,1,0,6,0,1,388,636,9,1,3,0,3,1,6,3,3,1,1,0,0,0
12,2,85,2,7,1,4,2,1,32,2,2,7,2,0,930,465,5,0,0,0,0,1,10,2,3,8,4,7,7,0
21,2,502,2,4,2,5,3,1,26,2,1,8,3,1,59,66,3,0,3,0,2,1,19,6,3,1,0,0,0,1
17,2,456,1,0,2,3,3,0,30,1,1,2,3,1,723,516,0,0,1,0,1,1,10,0,2,9,7,0,0,0
14,2,319,2,6,4,2,3,1,67,2,1,7,3,1,1025,1240,4,0,1,0,2,1,7,3,1,4,3,0,3,0
29,2,68,1,1,1,4,2,0,3,2,3,3,3,1,1243,631,1,1,0,0,2,1,26,3,1,26,14,3,0,0
33,1,861,1,0,3,3,0,0,0,1,2,0,0,2,943,1369,3,0,9,1,2,0,23,1,1,13,12,12,8,0
3,2,40,2,11,2,1,2,0,60,3,0,8,1,2,256,1352,1,0,4,0,3,0,1,0,2,1,0,0,0,1
10,1,120,1,1,1,3,2,1,8,1,0,2,0,2,206,190,7,0,0,0,2,0,8,2,1,0,0,0,0,1
16,1,488,1,9,3,3,3,1,13,2,0,6,2,0,447,230,1,1,6,0,3,1,5,4,3,5,3,2,0,0
31,1,342,1,9,3,1,2,0,5,2,4,5,0,2,1290,1360,9,1,0,0,3,0,22,4,2,3,2,1,2,0
28,1,584,1,17,0,3,0,0,56,2,2,0,2,1,1106,404,5,0,0,0,3,0,28,3,1,2,2,1,2,0
35,2,89,2,0,0,3,3,0,4,2,1,7,0,2,988,320,7,0,9,1,3,0,18,2,3,14,7,8,10,0
8,0,436,1,6,2,3,3,1,46,2,0,2,3,2,209,575,1,0,9,1,2,0,7,5,2,7,7,5,7,0
24,0,161,1,9,3,5,2,1,8,2,0,6,2,1,320,245,3,0,11,1,1,2,10,1,1,6,3,3,3,0
8,2,231,1,23,2,5,2,1,36,0,0,2,3,2,143,1231,1,1,7,0,1,0,1,3,0,1,0,0,0,1
17,2,274,1,24,1,4,0,1,24,1,1,2,3,2,428,693,4,0,3,0,3,0,9,3,2,3,2,0,2,0
8,2,304,1,3,1,1,2,1,23,2,0,6,3,2,307,464,1,1,9,1,1,0,8,2,1,8,5,2,2,0
29,2,704,2,1,3,1,1,0,17,3,3,3,1,0,1223,1102,6,0,3,0,2,3,29,2,2,3,2,1,2,0
